arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
20,1,115.0,357.8985573028009,19,242.8985573028009,4,13,2,651.307220661295,651.307220661295,188.85529807970488,166.73405340298416
21,1,119.0,264.49356003010877,20,145.49356003010877,4,14,2,238.89855730280087,647.307220661295,238.8985573028009,162.73405340298416
22,1,123.0,445.83446995672796,21,322.83446995672796,4,15,2,141.49356003010877,643.307220661295,141.49356003010877,158.73405340298416
23,1,127.0,942.2188618281111,22,815.2188618281111,4,16,2,318.83446995672796,639.307220661295,318.83446995672796,154.73405340298416
24,0,129.0,569.5785695979761,23,440.57856959797607,5,16,2,813.2188618281111,637.307220661295,813.2188618281111,152.73405340298416
25,1,169.0,414.9604621710094,23,245.9604621710094,5,17,1,400.57856959797607,400.57856959797607,773.2188618281111,112.73405340298416
26,1,170.0,325.2236876429419,24,155.2236876429419,5,18,1,244.9604621710094,399.57856959797607,244.9604621710094,111.73405340298416
27,1,179.0,314.27356054312537,24,135.27356054312537,5,18,1,146.2236876429419,390.57856959797607,146.2236876429419,102.73405340298416
28,1,186.0,382.2453774820196,24,196.2453774820196,5,18,1,128.27356054312537,383.57856959797607,128.27356054312537,95.73405340298416
29,1,192.0,421.53076757189365,25,229.53076757189365,5,19,1,190.2453774820196,377.57856959797607,190.2453774820196,89.73405340298416
30,1,198.0,292.0075276849034,26,94.00752768490338,5,20,1,223.53076757189368,371.57856959797607,223.53076757189365,83.73405340298416
31,1,203.0,262.1145997473719,27,59.114599747371926,5,21,1,89.00752768490338,366.57856959797607,89.00752768490338,78.73405340298416
32,1,213.0,217.09750733648443,27,4.097507336484426,5,21,1,49.11459974737194,356.57856959797607,49.114599747371926,68.73405340298416
33,0,215.0,1271.6247235064404,28,1056.6247235064404,6,21,1,2.0975073364844263,354.57856959797607,2.0975073364844263,66.73405340298416
34,1,239.0,244.6605770632455,26,5.660577063245512,6,19,1,1032.6247235064404,1032.6247235064404,0.0,42.73405340298416
35,1,243.0,376.1631378262824,27,133.16313782628242,6,20,1,1.6605770632454977,1028.6247235064404,1.660577063245512,38.73405340298416
36,2,262.0,301.35563572630286,26,39.355635726302864,6,18,2,114.16313782628245,1009.6247235064404,114.16313782628242,19.73405340298416
37,2,283.0,496.8236942914705,23,213.82369429147047,6,15,2,18.35563572630288,988.6247235064404,93.16313782628242,18.355635726302864
38,2,284.0,455.2203800425885,24,171.2203800425885,6,15,3,212.82369429147047,987.6247235064404,92.16313782628242,212.82369429147047
39,2,294.0,394.6339555469361,24,100.63395554693608,6,14,4,161.2203800425885,977.6247235064404,82.16313782628242,161.2203800425885
40,1,299.0,456.3927597067967,25,157.3927597067967,6,15,4,95.63395554693606,972.6247235064404,77.16313782628242,95.63395554693608
41,1,313.0,423.9721168344724,22,110.97211683447239,6,13,3,143.39275970679668,958.6247235064404,143.3927597067967,81.63395554693608
42,1,317.0,560.3683802058898,22,243.36838020588982,6,13,3,106.97211683447239,954.6247235064404,106.97211683447239,77.63395554693608
43,1,319.0,653.9746946837583,23,334.97469468375834,6,14,3,241.36838020588982,952.6247235064404,241.36838020588982,75.63395554693608
44,1,322.0,491.6278569100199,24,169.6278569100199,6,15,3,331.9746946837583,949.6247235064404,331.97469468375834,72.63395554693608
45,0,322.00001,1385.4814085044657,25,1063.4813985044657,7,15,3,169.62784691001988,949.6247135064405,169.6278469100199,72.6339455469361
46,1,325.00001,619.1367619602113,26,294.1367519602113,7,16,3,1060.4813985044657,1060.4813985044657,166.6278469100199,69.6339455469361
47,1,327.00001,607.4405539109064,26,280.4405439109064,7,16,3,292.1367519602113,1058.4813985044657,292.1367519602113,67.6339455469361
48,1,345.00001,355.6135543272137,27,10.61354432721373,7,17,3,262.4405439109064,1040.4813985044657,262.4405439109064,49.633945546936104
49,2,345.00001999999995,406.571396338398,28,61.57137633839807,7,17,4,10.613534327213728,1040.4813885044657,10.613534327213756,49.63393554693613
50,1,360.00001999999995,572.9759199617737,26,212.97589996177373,6,16,4,46.571376338398096,1025.4813885044657,0.0,46.57137633839807
51,1,381.00001999999995,760.7367171100191,26,379.7366971100191,6,16,4,191.97589996177376,1004.4813885044657,191.97589996177373,25.571376338398068
52,1,392.00001999999995,444.64607448496344,26,52.646054484963486,6,16,4,368.7366971100191,993.4813885044657,368.7366971100191,14.571376338398068
53,1,397.00001999999995,700.7924189615966,26,303.79239896159663,6,17,3,47.646054484963486,988.4813885044657,47.646054484963486,9.571376338398068
54,1,399.00001999999995,604.7321617253385,27,205.73214172533858,6,18,3,301.79239896159663,986.4813885044657,301.79239896159663,7.571376338398068
55,1,399.0000299999999,663.9723074248983,28,264.9722774248984,6,19,3,205.73213172533866,986.4813785044657,205.7321317253386,7.571366338398093
56,1,407.0000299999999,620.8122374217771,28,213.8122074217772,6,20,2,256.9722774248984,978.4813785044657,256.9722774248984,0.0
57,1,413.0000299999999,669.3514326473735,29,256.35140264737356,6,21,2,207.8122074217772,972.4813785044657,207.8122074217772,0.0
58,1,414.0000299999999,666.1878403498013,30,252.18781034980134,6,22,2,255.3514026473735,971.4813785044657,255.35140264737356,0.0
59,1,417.0000299999999,568.3146657443641,30,151.31463574436418,6,22,2,249.18781034980137,968.4813785044657,249.18781034980134,0.0
60,1,424.0000299999999,726.5209980017277,29,302.52096800172774,6,21,2,144.31463574436418,961.4813785044657,144.31463574436418,0.0
61,1,450.0000299999999,658.1259043895742,28,208.12587438957428,6,20,2,276.52096800172774,935.4813785044657,276.52096800172774,0.0
62,1,461.0000299999999,612.8784190023192,27,151.8783890023193,6,20,1,197.12587438957428,924.4813785044657,197.12587438957428,0.0
63,0,464.0000299999999,867.8743692283795,28,403.87433922837954,7,20,1,148.87838900231927,921.4813785044657,148.8783890023193,0.0
64,1,478.0000299999999,739.9668163543824,29,261.9667863543825,7,21,1,389.87433922837954,389.87433922837954,134.8783890023193,0.0
65,1,479.0000299999999,655.8214639592069,30,176.82143395920696,7,22,1,260.96678635438246,388.87433922837954,260.9667863543825,0.0
66,1,493.0000299999999,651.7142799810534,30,158.7142499810535,7,22,1,162.82143395920698,374.87433922837954,162.82143395920696,0.0
67,0,498.0000299999999,1125.3801319533954,30,627.3801019533955,8,22,0,153.71424998105354,369.87433922837954,153.7142499810535,0.0
68,2,501.0000299999999,609.0661185932049,31,108.066088593205,8,22,1,624.3801019533955,624.3801019533955,150.7142499810535,0.0
69,0,504.0000299999999,1197.2249547325277,32,693.2249247325278,9,22,1,105.06608859320504,621.3801019533955,147.7142499810535,105.066088593205
70,2,505.0000299999999,543.0464685648769,33,38.04643856487701,9,22,2,692.2249247325278,692.2249247325278,146.7142499810535,104.066088593205
71,0,510.0000299999999,946.054332122539,34,436.05430212253907,10,22,2,33.04643856487698,687.2249247325278,141.7142499810535,33.04643856487701
72,1,516.0000299999999,600.5793158544898,34,84.57928585448985,9,23,2,430.05430212253907,430.05430212253907,135.7142499810535,27.046438564877008
73,2,529.0000299999999,543.4506076822979,35,14.45057768229799,9,23,3,71.57928585448991,417.05430212253907,71.57928585448985,14.046438564877008
74,2,533.0000299999999,552.8409081066351,35,19.84087810663516,8,23,4,10.450577682298047,413.05430212253907,67.57928585448985,10.45057768229799
75,2,535.0000299999999,730.6022682902887,36,195.60223829028882,8,23,5,17.84087810663516,411.05430212253907,65.57928585448985,17.84087810663516
76,1,543.0000299999999,635.514183485569,37,92.51415348556907,8,24,5,187.6022382902888,403.05430212253907,57.579285854489854,187.60223829028882
77,2,549.0000299999999,565.5290813571662,36,16.52905135716628,8,24,4,86.51415348556901,397.05430212253907,86.51415348556907,181.60223829028882
78,1,553.0000299999999,793.8032993713992,36,240.80326937139932,8,25,3,12.529051357166225,393.05430212253907,82.51415348556907,12.529051357166281
79,0,558.0000299999999,1397.3801319533954,37,839.3801019533955,9,25,3,235.80326937139932,388.05430212253907,235.80326937139932,7.529051357166281
80,2,558.0000399999999,570.9855795005591,38,12.985539500559184,9,25,4,839.3800919533955,839.3800919533955,235.80325937139935,7.529041357166307
81,1,575.0000399999999,747.5326601551865,33,172.53262015518658,8,23,2,0.0,822.3800919533955,218.80325937139935,0.0
82,2,576.0000399999999,653.5209015384303,34,77.52086153843038,8,23,3,171.53262015518663,821.3800919533955,171.53262015518658,0.0
83,1,581.0000399999999,898.4364185118079,35,317.436378511808,8,24,3,72.52086153843042,816.3800919533955,166.53262015518658,72.52086153843038
84,1,589.0000399999999,789.8869930880812,36,200.88695308808133,8,25,3,309.43637851180796,808.3800919533955,309.436378511808,64.52086153843038
85,1,594.0000399999999,828.9591613931724,37,234.9591213931725,8,26,3,195.88695308808133,803.3800919533955,195.88695308808133,59.52086153843038
86,1,599.0000399999999,764.9019033096395,38,165.90186330963957,8,27,3,229.95912139317247,798.3800919533955,229.9591213931725,54.52086153843038
87,0,600.0000399999999,1316.6665640045571,39,716.6665240045572,9,27,3,164.9018633096395,797.3800919533955,164.90186330963957,53.52086153843038
88,2,604.0000399999999,749.401117027066,39,145.4010770270661,9,26,4,712.6665240045571,712.6665240045572,160.90186330963957,49.52086153843038
89,1,606.0000399999999,810.9410537284687,39,204.94101372846876,9,26,4,143.40107702706612,710.6665240045572,158.90186330963957,143.4010770270661
90,2,608.0000399999999,774.085299275489,39,166.08525927548908,9,25,5,202.9410137284687,708.6665240045572,202.94101372846876,141.4010770270661
91,1,612.0000399999999,756.5002074530423,39,144.50016745304242,9,26,4,162.0852592754891,704.6665240045572,198.94101372846876,162.08525927548908
92,1,618.0000399999999,703.1371934478042,39,85.13715344780428,9,26,4,138.50016745304248,698.6665240045572,138.50016745304242,156.08525927548908
93,1,621.0000399999999,1516.7293503120848,38,895.7293103120849,9,25,4,82.13715344780428,695.6665240045572,82.13715344780428,153.08525927548908
94,1,621.0000499999999,931.3168551403003,39,310.3168051403004,9,26,4,895.7293003120849,695.6665140045573,895.7293003120849,153.0852492754891
95,1,622.0000499999999,882.0003781847771,40,260.00032818477723,9,27,4,309.3168051403004,694.6665140045573,309.3168051403004,152.0852492754891
96,1,626.0000499999999,694.7670362948539,41,68.76698629485406,9,28,4,256.00032818477723,690.6665140045573,256.00032818477723,148.0852492754891
97,1,628.0000499999999,770.6234138036482,42,142.62336380364832,9,29,4,66.7669862948541,688.6665140045573,66.76698629485406,146.0852492754891
98,1,633.0000499999999,708.1904320983938,43,75.19038209839391,9,30,4,137.62336380364832,683.6665140045573,137.62336380364832,141.0852492754891
99,2,635.0000499999999,1330.4444147197833,44,695.4443647197834,9,30,5,73.19038209839394,681.6665140045573,73.19038209839391,139.0852492754891
100,0,638.0000499999999,1142.5057479639383,44,504.5056979639385,10,29,5,692.4443647197833,678.6665140045573,70.19038209839391,692.4443647197834
101,1,639.0000499999999,1035.696245599057,45,396.6961955990571,10,30,5,503.5056979639385,503.5056979639385,69.19038209839391,691.4443647197834
102,0,641.0000499999999,749.396235929623,46,108.39618592962313,11,30,5,394.6961955990571,501.5056979639385,394.6961955990571,689.4443647197834
103,1,646.0000499999999,898.9606298033323,47,252.9605798033324,11,31,5,103.39618592962313,103.39618592962313,389.6961955990571,684.4443647197834
104,1,647.0000499999999,715.9416317835146,48,68.94158178351472,11,32,5,251.9605798033324,102.39618592962313,251.9605798033324,683.4443647197834
105,1,650.0000499999999,832.5521094691389,49,182.55205946913907,11,33,5,65.94158178351469,99.39618592962313,65.94158178351472,680.4443647197834
106,2,652.0000499999999,673.4134338815161,49,21.41338388151621,11,32,6,180.5520594691391,97.39618592962313,180.55205946913907,678.4443647197834
107,2,653.0000499999999,749.0100540460203,50,96.01000404602041,11,32,7,20.413383881516168,96.39618592962313,179.55205946913907,20.41338388151621
108,2,657.0000499999999,701.3089192994594,48,44.3088692994595,11,30,7,92.01000404602046,92.39618592962313,175.55205946913907,92.01000404602041
109,2,658.0000499999999,743.6946349352846,49,85.69458493528475,11,30,8,43.30886929945946,91.39618592962313,174.55205946913907,43.3088692994595
110,2,665.0000499999999,758.8666465832059,48,93.86659658320605,11,28,9,78.69458493528477,84.39618592962313,167.55205946913907,78.69458493528475
111,2,665.0000599999998,703.2752550062161,49,38.27519500621622,11,28,10,93.86658658320607,84.39617592962315,167.5520494691391,93.86658658320607
112,2,672.0000599999998,720.525377085144,48,48.52531708514414,11,26,11,31.275195006216265,77.39617592962315,160.5520494691391,31.275195006216222
113,1,674.0000599999998,775.1282557831425,48,101.1281957831427,11,27,10,46.525317085144124,75.39617592962315,158.5520494691391,46.52531708514414
114,0,677.0000599999998,1276.6593725869848,49,599.6593125869849,12,27,10,98.12819578314264,72.39617592962315,98.1281957831427,43.52531708514414
115,1,679.0000599999998,1169.194318667318,50,490.1942586673181,12,28,10,597.659312586985,597.6593125869849,96.1281957831427,41.52531708514414
116,1,683.0000599999998,1055.0390215362736,51,372.03896153627375,12,29,10,486.1942586673182,593.6593125869849,486.1942586673181,37.52531708514414
117,1,691.0000599999998,916.7818354728038,52,225.78177547280393,12,30,10,364.03896153627375,585.6593125869849,364.03896153627375,29.525317085144138
118,2,691.0000699999998,742.8972448375728,53,51.89717483757295,12,30,11,225.7817654728039,585.659302586985,225.78176547280395,29.525307085144163
119,2,697.0000699999998,706.1374873855691,53,9.137417385569279,12,29,12,45.89717483757293,579.659302586985,219.78176547280395,45.89717483757295
120,1,698.0000699999998,827.8119299867433,54,129.81185998674346,12,30,12,8.137417385569236,578.659302586985,218.78176547280395,8.137417385569279
121,0,698.0000799999998,1107.9376081450098,55,409.93752814501,13,30,12,129.8118499867435,578.659292586985,129.81184998674348,8.137407385569304
122,1,702.0000799999998,910.2862950337973,54,208.28621503379748,13,30,11,405.93752814501,405.93752814501,125.81184998674348,4.137407385569304
123,1,705.0000799999998,824.5832074370148,53,119.58312743701504,13,30,10,205.2862150337975,402.93752814501,205.28621503379748,1.137407385569304
124,1,710.0000799999998,1046.687245394071,52,336.68716539407114,13,30,9,114.5831274370151,397.93752814501,114.58312743701504,0.0
125,2,710.0000899999998,756.1627844330969,53,46.16269443309716,13,30,10,336.6871553940713,397.93751814501,336.68715539407117,0.0
126,0,718.0000899999998,1754.0910498931696,53,1036.0909598931698,14,29,10,38.16269443309719,389.93751814501,328.68715539407117,38.16269443309716
127,1,719.0000899999998,769.1269940245754,54,50.12690402457565,14,30,10,1035.0909598931698,1035.0909598931698,327.68715539407117,37.16269443309716
128,1,724.0000899999998,780.9871249109455,54,56.98703491094568,14,31,9,45.12690402457571,1030.0909598931698,45.12690402457565,32.16269443309716
129,0,725.0000899999998,1003.8819194080919,55,278.88182940809213,15,31,9,55.98703491094571,1029.0909598931698,55.98703491094568,31.16269443309716
130,1,735.0000899999998,825.3388193290626,54,90.33872932906286,15,31,8,268.88182940809213,268.88182940809213,45.98703491094568,21.16269443309716
131,2,740.0000899999998,949.920124990874,54,209.92003499087423,15,30,9,85.33872932906283,263.88182940809213,85.33872932906286,16.16269443309716
132,1,740.0000999999997,1089.9189792155507,55,349.918879215551,15,31,9,209.9200249908743,263.88181940809216,85.33871932906288,209.92002499087425
133,2,745.0000999999997,961.954054618988,54,216.9539546189883,15,31,8,344.9188792155511,258.88181940809216,344.918879215551,204.92002499087425
134,1,748.0000999999997,786.97755305559,54,38.97745305559022,15,31,8,213.95395461898826,255.88181940809216,341.918879215551,213.9539546189883
