,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
0,5.0,567.0534197137401,562.0534197137401,0,0,0,0,0
1,11.0,96.66941425661452,85.66941425661452,1,1,0,0,1
2,27.0,463.84348071131666,436.84348071131666,2,2,1,0,1
3,30.0,65.58041258776274,35.58041258776274,3,3,2,0,1
4,34.0,305.6783627131108,271.6783627131108,4,4,3,0,1
5,35.0,161.3329302267959,126.3329302267959,5,5,4,0,1
6,40.0,75.30889303720636,35.30889303720636,6,6,5,0,1
7,43.0,389.76022573721195,346.76022573721195,7,7,5,1,1
8,54.0,266.7169762313214,212.71697623132138,8,8,6,1,1
9,58.0,168.23561406704493,110.23561406704493,9,9,6,2,1
10,61.0,494.74315178865317,433.74315178865317,10,10,7,2,1
11,73.0,81.44429329800286,8.444293298002862,10,11,7,2,1
12,79.0,221.25801970708906,142.25801970708906,10,12,8,1,1
13,83.0,376.32948460980094,293.32948460980094,10,13,7,1,2
14,99.0,669.492158442906,570.492158442906,10,14,7,1,2
15,105.0,196.58210075888576,91.58210075888576,11,15,8,1,2
16,115.0,391.95529581197104,276.95529581197104,12,16,8,2,2
17,119.0,444.2542470996128,325.2542470996128,13,17,9,2,2
18,123.0,173.59506985075927,50.59506985075927,14,18,10,2,2
19,124.0,125.58112656631974,1.581126566319739,15,19,11,2,2
20,127.0,266.2093175160811,139.20931751608111,15,20,11,2,2
21,169.0,231.2915430708799,62.2915430708799,14,21,10,2,2
22,170.0,278.45310270349074,108.45310270349074,15,22,11,2,2
23,179.0,355.0807996963075,176.0807996963075,15,23,11,2,2
24,186.0,817.673825282136,631.673825282136,16,24,12,2,2
25,192.0,549.3104740256616,357.3104740256616,17,25,13,2,2
26,198.0,267.56654811239616,69.56654811239616,17,26,14,1,2
27,203.0,318.74549481317393,115.74549481317393,18,27,15,1,2
28,210.0,302.9875759092174,92.98757590921741,19,28,16,1,2
29,213.0,316.96783475678876,103.96783475678876,20,29,16,2,2
30,239.0,1028.306832996469,789.306832996469,19,30,16,2,1
31,243.0,577.940417164386,334.94041716438596,20,31,17,2,1
32,255.0,496.91565260591835,241.91565260591835,21,32,18,2,1
33,276.0,492.7817684736583,216.7817684736583,19,33,16,1,2
34,277.0,474.04177572557944,197.04177572557944,20,34,16,1,3
35,287.0,434.9989219672086,147.99892196720862,20,35,15,1,4
36,299.0,572.5714941173139,273.57149411731393,21,36,15,1,5
37,313.0,361.2509498058139,48.25094980581389,20,37,15,0,5
38,317.0,421.9568710075403,104.95687100754031,20,38,15,0,5
39,317.00001,374.3499243090264,57.34991430902642,21,39,16,0,5
40,319.0,474.65516527737554,155.65516527737554,21,40,15,1,5
41,322.0,505.82273578280444,183.82273578280444,22,41,16,1,5
42,325.0,564.4289622803067,239.42896228030668,23,42,17,1,5
43,327.0,521.8612283044317,194.86122830443173,24,43,18,1,5
44,338.0,1183.6210854268759,845.6210854268759,25,44,19,1,5
45,345.0,1121.0711809950508,776.0711809950508,26,45,19,1,6
46,360.0,495.2838196085386,135.28381960853858,26,46,19,1,6
47,381.0,764.330433146258,383.330433146258,24,47,18,0,6
48,392.0,898.0521729181014,506.0521729181014,23,48,17,0,6
49,397.0,652.7100358153207,255.71003581532068,24,49,18,0,6
50,399.0,503.5487381326203,104.54873813262031,25,50,19,0,6
51,399.00001,624.1992971800697,225.19928718006975,26,51,20,0,6
52,407.00001,562.4298906810196,155.42988068101965,27,52,21,0,6
53,413.00001,696.7152992808788,283.7152892808788,28,53,22,0,6
54,414.00001,657.5482381506203,243.54822815062028,29,54,23,0,6
55,417.00001,549.9252178680936,132.9252078680936,30,55,24,0,6
56,424.00001,629.0780354867762,205.07802548677626,30,56,24,0,6
57,450.00001,1123.3733279977441,673.3733179977442,29,57,24,0,5
58,459.00001,896.5352228162922,437.5352128162922,30,58,25,0,5
59,461.00001,611.9072212161122,150.90721121611227,31,59,25,1,5
60,478.00001,611.0323492768989,133.03233927689894,29,60,24,1,4
61,479.00001,925.9019281997121,446.9019181997121,30,61,25,1,4
62,493.00001,506.25642734877795,13.256417348777973,30,62,26,1,3
63,493.00001999999995,588.4280692037921,95.42804920379217,31,63,27,1,3
64,494.0,720.8512221622291,226.85122216222908,32,64,27,2,3
65,498.0,932.8902356505241,434.8902356505241,30,65,25,2,3
66,499.00001999999995,623.5428720899879,124.54285208998795,31,66,25,2,4
67,505.00001999999995,670.999242059946,165.99922205994608,31,67,24,3,4
68,516.00001,927.5560075322576,411.5559975322576,30,68,22,4,4
69,522.0,761.4758180857232,239.47581808572318,30,69,22,4,4
70,526.0,1136.7417148718005,610.7417148718005,31,70,22,4,5
71,528.0,530.164541173401,2.1645411734009485,32,71,22,4,6
72,542.0,709.5027861136359,167.50278611363592,32,72,22,4,6
73,543.00001,799.7924967998667,256.79248679986677,33,73,22,4,7
74,551.0,709.5281014458477,158.5281014458477,32,74,21,4,7
75,553.00001,697.4943495158844,144.49433951588446,33,75,21,4,8
76,553.00002,1479.5256884015707,926.5256684015708,34,76,22,4,8
77,569.0,712.6602469762802,143.66024697628018,32,77,20,5,7
78,575.00001,698.6140418512609,123.61403185126096,32,78,19,5,8
79,581.00001,721.0378344822092,140.0378244822092,32,79,19,5,8
80,589.00001,1112.2761474109461,523.2761374109461,32,80,20,4,8
81,594.00001,750.268198515389,156.26818851538906,33,81,21,4,8
82,595.00002,777.4450419226736,182.44502192267362,34,82,22,4,8
83,597.0,721.0905545655376,124.09055456553756,35,83,22,5,8
84,599.00001,882.2472848920507,283.24727489205077,36,84,22,5,9
85,601.0,912.6583841472863,311.65838414728626,37,85,23,5,9
86,606.00001,636.0926020183363,30.09259201833629,38,86,23,5,10
87,612.00001,789.5398675277795,177.53985752777953,37,87,22,5,10
