case,class,arrival,service,departure,server,arr_nis,arr_niq,sojourn,cum_arrival,arr_nservice,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2,last_remaining_los
30,2,0.332997077065436,0.332997077065436,0.4791949674454766,21,21,0,0.1461978903800406,31,21,9,10,2,1.4340794186878003
31,1,0.340809483660541,0.340809483660541,1.16963157234197,22,22,0,0.8288220886814289,32,22,9,10,3,0.13838548378493565
32,2,0.3427220167018727,0.3427220167018727,1.6202959214304873,23,23,0,1.2775739047286145,33,23,10,10,3,0.8269095556400972
33,2,0.3434978251802698,0.3434978251802698,0.5956240723781948,24,24,0,0.25212624719792504,34,24,10,10,4,1.2767980962502175
34,0,0.3444849461937748,0.3444849461937748,0.5704416796535815,25,25,0,0.2259567334598067,35,25,10,10,5,0.25113912618442
35,0,0.3485595880052723,0.3485595880052723,0.8210230962289197,26,26,0,0.47246350822364735,36,26,10,11,5,0.2218820916483092
36,1,0.3486946411295097,0.3486946411295097,0.7485706687928564,27,27,0,0.3998760276633467,37,27,10,12,5,0.47232845509940996
37,1,0.3502879606866797,0.3502879606866797,1.12341624505105,28,28,0,0.7731282843643703,38,28,11,12,5,0.39828270810617666
38,0,0.3709290467384357,0.3709290467384357,1.0085396137648632,29,29,0,0.6376105670264276,39,29,12,12,5,0.7524871983126143
39,0,0.3938805424170669,0.3938805424170669,0.7803104127361913,30,30,0,0.3864298703191244,40,30,12,13,5,0.6146590713477964
40,0,0.3980373897240965,0.3980373897240965,0.7071551710165087,1,30,0,0.3091177812924122,41,30,11,14,5,0.38227302301209476
41,0,0.4000893050456378,0.4000893050456378,1.1048265416839158,31,31,0,0.704737236638278,42,31,11,15,5,0.30706586597087093
42,0,0.4132551078411231,0.4132551078411231,0.514977820092827,32,32,0,0.10172271225170387,43,32,11,16,5,0.6915714338427927
43,0,0.418873159702923,0.418873159702923,1.132777712025976,20,32,0,0.7139045523230532,44,32,11,16,5,0.096104660389904
44,0,0.428719045325043,0.428719045325043,0.4611804316526872,33,33,0,0.03246138632764417,45,33,11,17,5,0.7040586667009332
45,2,0.4616811255217442,0.4616811255217442,2.7358224143442995,33,33,0,2.2741412888225554,46,33,11,17,5,-0.0005006938690569895
46,1,0.4639033966246048,0.4639033966246048,1.0039755934114716,34,34,0,0.5400721967868668,47,34,11,17,6,2.2719190177196946
47,0,0.4678820830943243,0.4678820830943243,0.5604694867762751,19,34,0,0.09258740368195079,48,34,12,16,6,0.5360935103171474
48,0,0.4732976128248341,0.4732976128248341,1.1664290246123,35,35,0,0.6931314117874658,49,35,12,17,6,0.08717187395144094
49,0,0.4740563476431946,0.4740563476431946,0.9247903377415104,36,36,0,0.45073399009831583,50,36,12,18,6,0.6923726769691054
50,0,0.4870073099341908,0.4870073099341908,0.6283564252250295,21,36,0,0.14134911529083877,51,36,12,19,5,0.43778302780731965
51,0,0.5044907672423566,0.5044907672423566,0.5938579596654431,37,37,0,0.08936719242308644,52,37,12,20,5,0.1238656579826729
52,1,0.5184581547449121,0.5184581547449121,0.5653868804949094,32,37,0,0.04692872574999729,53,37,12,20,5,0.075399804920531
53,0,0.5217071017121623,0.5217071017121623,0.571107127546137,38,38,0,0.04940002583397474,54,38,13,20,5,0.04367977878274709
54,0,0.5232253667463904,0.5232253667463904,0.7431643527459312,39,39,0,0.21993898599954076,55,39,13,21,5,0.0478817607997466
55,0,0.5241183703827135,0.5241183703827135,0.6180606844025514,40,40,0,0.09394231401983788,56,40,13,22,5,0.2190459823632177
