arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
32,1,213.0,303.370380675524,22,90.37038067552402,2,18,2,65.02079784477392,0.0,65.02079784477394,288.383300558344
33,0,215.0,292.3299806083067,22,77.3299806083067,3,17,2,88.37038067552402,0.0,88.37038067552402,286.383300558344
34,1,239.0,507.08563369390856,21,268.08563369390856,3,16,2,53.329980608306684,53.3299806083067,64.37038067552402,262.383300558344
35,1,243.0,344.0247137049998,22,101.02471370499978,3,17,2,264.08563369390856,49.3299806083067,264.08563369390856,258.383300558344
36,2,262.0,432.499601169994,19,170.49960116999398,3,14,2,82.02471370499977,30.3299806083067,82.02471370499978,239.383300558344
37,2,283.0,782.3221958074967,17,499.32219580749666,3,11,3,149.49960116999395,9.329980608306698,61.02471370499978,149.49960116999398
38,2,284.0,382.96157909156216,18,98.96157909156216,3,11,4,498.32219580749666,8.329980608306698,60.02471370499978,498.32219580749666
39,2,294.0,475.32077896341855,18,181.32077896341855,2,11,5,88.96157909156214,0.0,50.02471370499978,88.96157909156216
40,1,299.0,759.1358078503517,19,460.13580785035174,2,12,5,176.32077896341858,0.0,45.02471370499978,176.32077896341855
41,1,313.0,558.1119463857591,19,245.1119463857591,2,12,5,446.13580785035174,0.0,446.13580785035174,162.32077896341855
42,1,317.0,516.1203374436877,20,199.12033744368773,2,13,5,241.1119463857591,0.0,241.1119463857591,158.32077896341855
43,1,319.0,356.62692237675174,21,37.626922376751736,2,14,5,197.12033744368767,0.0,197.12033744368773,156.32077896341855
44,1,322.0,608.1798106586659,21,286.17981065866593,2,14,5,34.62692237675175,0.0,34.626922376751736,153.32077896341855
45,0,322.00001,350.69105345290956,22,28.691043452909582,3,14,5,286.1798006586659,0.0,286.17980065866595,153.32076896341857
46,1,325.00001,758.7784687670236,23,433.7784587670236,3,15,5,25.69104345290959,25.691043452909582,283.17980065866595,150.32076896341857
47,1,327.00001,345.5034913751597,24,18.50348137515971,3,16,5,431.7784587670236,23.691043452909582,431.7784587670236,148.32076896341857
48,1,345.00001,496.3133866609189,21,151.31337666091895,2,14,5,0.5034813751597298,5.691043452909582,0.5034813751597085,130.32076896341857
49,2,345.00001999999995,588.7905311447792,22,243.7905111447792,2,14,6,151.313366660919,5.691033452909608,151.31336666091897,130.3207589634186
50,1,360.00001999999995,394.7500685960031,20,34.750048596003126,1,13,6,228.79051114477915,0.0,136.31336666091897,228.7905111447792
51,1,381.00001999999995,467.6762482215105,19,86.67622822151054,0,13,6,13.750048596003126,0.0,13.750048596003126,207.7905111447792
52,1,392.00001999999995,488.93213098620265,19,96.9321109862027,0,14,5,75.67622822151051,0.0,75.67622822151054,196.7905111447792
53,1,397.00001999999995,515.1683253797955,19,118.16830537979558,0,14,5,91.93211098620267,0.0,91.9321109862027,191.7905111447792
54,1,399.00001999999995,431.3530586357389,20,32.353038635738926,0,15,5,116.16830537979564,0.0,116.16830537979558,189.7905111447792
55,1,399.0000299999999,629.4984010467219,21,230.498371046722,0,16,5,32.35302863573897,0.0,32.35302863573895,189.79050114477923
56,1,407.0000299999999,621.6592756834136,22,214.6592456834137,0,17,5,222.498371046722,0.0,222.498371046722,181.79050114477923
57,1,413.0000299999999,742.8295064853685,23,329.82947648536856,0,18,5,208.6592456834137,0.0,208.6592456834137,175.79050114477923
