,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
0,5.0,358.52894845854405,353.52894845854405,0,0,0,0,0
1,7.0,738.9528826225247,731.9528826225247,1,1,1,0,0
2,11.0,68.64541755932493,57.645417559324926,2,2,1,1,0
3,12.0,707.4841832844269,695.4841832844269,3,3,1,1,1
4,27.0,143.70941902329474,116.70941902329474,4,4,2,1,1
5,30.0,147.79849200493203,117.79849200493203,5,5,2,1,2
6,34.0,220.0565846215902,186.0565846215902,6,6,3,1,2
7,35.0,224.69298711865147,189.69298711865147,7,7,4,1,2
8,43.0,351.04282431029935,308.04282431029935,8,8,5,1,2
9,45.0,325.610481644463,280.610481644463,9,9,6,1,2
10,58.0,922.9245857436074,864.9245857436074,10,10,7,1,2
11,59.0,147.95149020651667,88.95149020651667,11,11,7,2,2
12,61.0,689.8411773528003,628.8411773528003,12,12,8,2,2
13,73.0,1186.2920279663135,1113.2920279663135,12,13,8,3,1
14,83.0,441.11200733329264,358.11200733329264,13,14,9,3,1
15,86.0,654.6076642828996,568.6076642828996,14,15,10,3,1
16,99.0,205.2015399066292,106.2015399066292,15,16,11,3,1
17,110.0,327.6101714050957,217.61017140509568,16,17,11,3,2
18,115.0,928.2658532289756,813.2658532289756,17,18,12,3,2
19,119.0,1068.4213452011675,949.4213452011675,18,19,12,4,2
20,123.0,377.40832429136333,254.40832429136333,19,20,13,4,2
21,127.0,301.30731710395577,174.30731710395577,20,21,14,4,2
22,129.0,362.08659883251903,233.08659883251903,21,22,15,4,2
23,169.0,611.4252233712339,442.42522337123387,19,23,14,4,1
24,170.0,566.5864883896415,396.58648838964154,20,24,14,5,1
25,179.0,194.53583365304155,15.53583365304155,21,25,15,5,1
26,186.0,354.6787361856989,168.67873618569888,22,26,16,5,1
27,192.0,266.03221491043155,74.03221491043155,23,27,17,5,1
28,198.0,309.0490450096109,111.0490450096109,23,28,17,5,1
29,203.0,269.9776222826668,66.9776222826668,24,29,18,5,1
30,213.0,219.7950347785089,6.795034778508892,24,30,19,5,0
31,215.0,279.91336444091394,64.91336444091394,25,31,20,5,0
32,239.0,767.616029016257,528.616029016257,23,32,18,5,0
33,243.0,433.0929547759078,190.0929547759078,24,33,18,6,0
34,262.0,467.56432568255843,205.56432568255843,25,34,19,6,0
35,283.0,398.1721910087069,115.17219100870687,23,35,17,6,0
36,284.0,376.4259139553338,92.42591395533378,24,36,17,6,1
37,294.0,435.3930705234262,141.39307052342622,25,37,17,6,2
38,299.0,411.7792353135292,112.77923531352923,26,38,17,6,3
39,313.0,551.4248618145698,238.4248618145698,25,39,15,6,4
40,317.0,474.8406366079056,157.8406366079056,26,40,16,6,4
41,319.0,553.4764188885434,234.47641888854344,27,41,17,6,4
42,322.0,562.9950550358844,240.99505503588443,28,42,18,6,4
43,322.00001,565.4611206898735,243.46111068987352,29,43,19,6,4
44,325.00001,731.784026036514,406.784016036514,30,44,20,6,4
45,327.00001,552.1393123653104,225.1393023653104,30,45,19,7,4
46,345.00001,600.6933850481812,255.69337504818122,30,46,19,7,4
47,345.00001999999995,475.03349135583915,130.0334713558392,31,47,20,7,4
48,360.00001999999995,488.73071310991463,128.73069310991468,29,48,18,7,4
49,381.00001999999995,635.6320000332801,254.63198003328012,27,49,16,7,4
50,392.00001999999995,754.4160418856845,362.4160218856846,28,50,17,7,4
51,397.00001999999995,577.2769304577848,180.27691045778488,29,51,18,7,4
52,399.00001999999995,1136.6791497394338,737.6791297394338,29,52,19,7,3
53,399.0000299999999,412.9938920989804,13.993862098980458,30,53,20,7,3
54,407.0000299999999,1682.2459237380535,1275.2458937380536,31,54,21,7,3
55,413.0000299999999,461.4429028737582,48.44287287375829,30,55,21,7,2
56,414.0000299999999,642.9411729186119,228.94114291861194,31,56,22,7,2
57,417.0000299999999,704.2985888473155,287.2985588473156,32,57,23,7,2
