arrival_count,class,arrival,s_departure,s_arr_nis,s_sojourn,s_arr_nis_class_0,s_arr_nis_class_1,s_arr_nis_class_2,s_last_remaining_los,s_last_rem_class_0,s_last_rem_class_1,s_last_rem_class_2
19,0,110.0,637.0931996992658,18,527.0931996992658,4,12,2,144.9401480227594,581.5307785062564,144.9401480227594,125.38139619459986
20,1,115.0,452.41394180156783,17,337.41394180156783,4,12,1,522.0931996992658,522.0931996992658,139.9401480227594,120.38139619459986
21,1,119.0,260.0508191933506,18,141.0508191933506,4,13,1,333.41394180156783,518.0931996992658,333.41394180156783,116.38139619459986
22,1,123.0,375.5493808826898,19,252.54938088268977,4,14,1,137.0508191933506,514.0931996992658,137.0508191933506,112.38139619459986
23,1,127.0,402.53690905902204,20,275.53690905902204,4,15,1,248.5493808826898,510.0931996992658,248.54938088268977,108.38139619459986
24,0,129.0,699.4986003675294,21,570.4986003675294,5,15,1,273.53690905902204,508.0931996992658,273.53690905902204,106.38139619459986
25,1,169.0,430.89744684745006,20,261.89744684745006,5,14,1,530.4986003675294,530.4986003675294,233.53690905902204,66.38139619459986
26,1,170.0,528.7484887889051,21,358.7484887889051,5,15,1,260.89744684745006,529.4986003675294,260.89744684745006,65.38139619459986
27,1,179.0,386.1518078283044,22,207.1518078283044,5,16,1,349.7484887889051,520.4986003675294,349.7484887889051,56.38139619459986
28,1,186.0,459.7311951868812,23,273.7311951868812,5,17,1,200.15180782830444,513.4986003675294,200.1518078283044,49.38139619459986
29,1,192.0,453.83899751061404,24,261.83899751061404,5,18,1,267.7311951868812,507.49860036752943,267.7311951868812,43.38139619459986
30,1,198.0,707.1594055775577,25,509.15940557755766,5,19,1,255.83899751061404,501.49860036752943,255.83899751061404,37.38139619459986
31,1,203.0,497.4973584114083,26,294.4973584114083,5,20,1,504.1594055775576,496.49860036752943,504.15940557755766,32.38139619459986
32,1,213.0,506.9630532363076,25,293.9630532363076,5,19,1,284.4973584114083,486.49860036752943,284.4973584114083,22.38139619459986
33,0,215.0,860.909366538732,26,645.909366538732,6,19,1,291.9630532363076,484.49860036752943,291.9630532363076,20.38139619459986
34,1,239.0,328.4345063569364,26,89.43450635693642,6,20,0,621.909366538732,621.909366538732,267.9630532363076,0.0
35,1,243.0,628.738901681483,26,385.73890168148296,6,20,0,85.43450635693642,617.909366538732,85.43450635693642,0.0
36,2,262.0,513.133261640873,25,251.133261640873,6,18,1,366.73890168148296,598.909366538732,366.73890168148296,0.0
37,2,283.0,322.4180533167716,26,39.41805331677159,6,18,2,230.13326164087297,577.909366538732,345.73890168148296,230.133261640873
38,2,284.0,369.8641359234982,27,85.86413592349822,6,18,3,38.41805331677159,576.909366538732,344.73890168148296,38.41805331677159
39,2,294.0,326.0098657822905,28,32.00986578229049,6,18,4,75.86413592349821,566.909366538732,334.73890168148296,75.86413592349822
40,1,299.0,588.1343648118494,28,289.1343648118494,6,18,4,27.00986578229046,561.909366538732,329.73890168148296,27.00986578229049
41,1,313.0,700.5560406800688,29,387.5560406800688,6,19,4,275.1343648118494,547.909366538732,275.1343648118494,13.00986578229049
42,1,317.0,668.7326628729306,30,351.73266287293063,6,20,4,383.5560406800688,543.909366538732,383.5560406800688,9.00986578229049
43,1,319.0,560.5683747163157,31,241.5683747163157,6,21,4,349.73266287293063,541.909366538732,349.73266287293063,7.00986578229049
44,1,322.0,647.7751012524473,32,325.77510125244726,6,22,4,238.5683747163157,538.909366538732,238.5683747163157,4.00986578229049
45,0,322.00001,1005.8463008007234,33,683.8462908007234,7,22,4,325.7750912524473,538.909356538732,325.7750912524473,4.009855782290515
46,1,325.00001,354.89831499589195,33,29.898304995891976,7,23,3,680.8462908007234,680.8462908007234,322.7750912524473,1.009855782290515
47,1,327.00001,647.4345366392279,33,320.4345266392279,7,24,2,27.898304995891976,678.8462908007234,27.898304995891976,0.0
48,1,345.00001,556.1872568048618,33,211.18724680486184,7,24,2,302.4345266392279,660.8462908007234,302.4345266392279,0.0
49,2,345.00001999999995,466.419513818481,34,121.41949381848104,7,24,3,211.18723680486193,660.8462808007234,211.18723680486187,0.0
50,1,360.00001999999995,590.8241485851565,34,230.8241285851566,7,24,3,106.41949381848104,645.8462808007234,196.18723680486187,106.41949381848104
51,1,381.00001999999995,561.3749819579084,33,180.37496195790845,7,24,2,209.82412858515656,624.8462808007234,209.8241285851566,85.41949381848104
52,1,392.00001999999995,561.0445729141398,32,169.0445529141399,7,23,2,169.37496195790848,613.8462808007234,169.37496195790845,74.41949381848104
53,1,397.00001999999995,628.749582097557,33,231.74956209755703,7,24,2,164.04455291413993,608.8462808007234,164.0445529141399,69.41949381848104
54,1,399.00001999999995,542.6978610826698,34,143.6978410826698,7,25,2,229.74956209755706,606.8462808007234,229.74956209755703,67.41949381848104
55,1,399.0000299999999,784.5343016345734,35,385.53427163457343,7,26,2,143.6978310826699,606.8462708007235,143.69783108266984,67.41948381848107
56,1,407.0000299999999,603.0206737207916,34,196.02064372079167,7,25,2,377.53427163457343,598.8462708007235,377.53427163457343,59.41948381848107
57,1,413.0000299999999,486.5940757586952,35,73.5940457586953,7,26,2,190.0206437207916,592.8462708007235,190.02064372079167,53.41948381848107
58,1,414.0000299999999,734.1423047386547,36,320.1422747386548,7,27,2,72.59404575869533,591.8462708007235,72.5940457586953,52.41948381848107
59,1,417.0000299999999,618.8079259132584,37,201.80789591325845,7,28,2,317.14227473865486,588.8462708007235,317.1422747386548,49.41948381848107
60,1,424.0000299999999,645.7649022893203,38,221.76487228932035,7,29,2,194.80789591325845,581.8462708007235,194.80789591325845,42.41948381848107
61,1,450.0000299999999,741.0071448675387,38,291.0071148675388,7,29,2,195.76487228932035,555.8462708007235,195.76487228932035,16.41948381848107
62,1,461.0000299999999,704.7800099302167,36,243.77997993021677,7,27,2,280.00711486753886,544.8462708007235,280.0071148675388,5.419483818481069
63,0,464.0000299999999,1297.0906673584655,37,833.0906373584655,8,27,2,240.77997993021674,541.8462708007235,240.77997993021677,2.419483818481069
64,1,478.0000299999999,871.0201670924782,37,393.0201370924783,8,28,1,819.0906373584656,819.0906373584655,226.77997993021677,0.0
65,1,479.0000299999999,643.4503533379362,38,164.4503233379363,8,29,1,392.0201370924783,818.0906373584655,392.0201370924783,0.0
66,1,493.0000299999999,636.8918522406949,38,143.89182224069498,8,29,1,150.4503233379363,804.0906373584655,150.4503233379363,0.0
67,0,498.0000299999999,1697.1641337760423,38,1199.1641037760423,9,28,1,138.89182224069498,799.0906373584655,138.89182224069498,0.0
68,2,501.0000299999999,572.1559332179228,38,71.15590321792286,9,27,2,1196.1641037760423,1196.1641037760423,135.89182224069498,0.0
69,0,504.0000299999999,1179.5856600316824,39,675.5856300316825,10,27,2,68.15590321792283,1193.1641037760423,132.89182224069498,68.15590321792286
70,2,505.0000299999999,609.3164246239114,40,104.31639462391149,10,27,3,674.5856300316825,674.5856300316825,131.89182224069498,67.15590321792286
71,0,510.0000299999999,1206.3421562237297,40,696.3421262237298,11,26,3,99.31639462391149,669.5856300316825,126.89182224069498,99.31639462391149
72,1,516.0000299999999,660.1439479346054,40,144.1439179346055,11,27,2,690.3421262237298,690.3421262237298,120.89182224069498,93.31639462391149
