,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
53,399.0000299999999,577.6774774031657,178.67744740316573,31,53,19,7,5
54,407.0000299999999,612.8505615011891,205.85053150118915,32,54,20,7,5
55,413.0000299999999,607.5304573370807,194.53042733708082,33,55,21,7,5
56,414.0000299999999,676.2314954317451,262.23146543174516,34,56,22,7,5
57,417.0000299999999,755.9418729037267,338.94184290372675,35,57,23,7,5
58,424.0000299999999,666.2545814852075,242.25455148520757,36,58,24,7,5
59,450.0000299999999,644.16392993151,194.16389993151006,34,59,24,7,3
60,461.0000299999999,634.7779254467732,173.7778954467733,35,60,25,7,3
61,464.0000299999999,560.7152792448347,96.71524924483481,36,61,26,7,3
62,478.0000299999999,1073.6226212310323,595.6225912310324,34,62,24,7,3
63,479.0000299999999,1028.951670340335,549.9516403403352,35,63,24,8,3
64,493.0000299999999,917.8111873879328,424.8111573879329,36,64,25,8,3
65,498.0000299999999,763.1729677748783,265.1729377748784,37,65,26,8,3
66,501.0000299999999,1127.0915757120447,626.0915457120448,37,66,26,8,3
67,504.0000299999999,709.0345112898684,205.0344812898685,38,67,26,9,3
68,505.0000299999999,1103.617805403398,598.6177754033981,39,68,26,9,4
69,510.0000299999999,597.729774589355,87.72974458935505,40,69,26,10,4
70,516.0000299999999,1042.0311049869488,526.0310749869489,39,70,25,10,4
71,529.0000299999999,760.6283635643956,231.6283335643957,40,71,25,11,4
72,533.0000299999999,1133.196064319522,600.1960343195221,41,72,26,11,4
73,535.0000299999999,738.2032908921799,203.20326089217997,41,73,25,11,5
74,543.0000299999999,800.9272341772379,257.92720417723797,42,74,25,11,6
75,549.0000299999999,779.9652793863854,230.9652493863855,43,75,25,11,7
76,553.0000299999999,640.7129992337268,87.71296923372688,44,76,26,11,7
77,558.0000299999999,858.0183545287422,300.01832452874226,44,77,25,11,8
78,558.0000399999999,1430.1982607935624,872.1982207935625,45,78,26,11,8
79,575.0000399999999,618.1361391768337,43.136099176833795,42,79,23,11,8
80,576.0000399999999,743.3648348650596,167.3647948650597,42,80,22,11,9
81,581.0000399999999,683.7050755624449,102.705035562445,41,81,21,11,9
82,589.0000399999999,933.0588690379258,344.0588290379259,42,82,21,11,10
83,594.0000399999999,832.3683755720195,238.36833557201965,43,83,22,11,10
84,599.0000399999999,934.7462671782287,335.74622717822876,43,84,23,11,9
85,600.0000399999999,861.6695544903598,261.6695144903599,44,85,24,11,9
86,604.0000399999999,1249.0067086978945,645.0066686978946,45,86,25,11,9
87,606.0000399999999,808.0526599572272,202.0526199572273,46,87,25,12,9
88,608.0000399999999,1073.4645773148006,465.46453731480074,46,88,24,12,10
89,612.0000399999999,659.774847621851,47.774807621851096,47,89,25,12,10
90,618.0000399999999,1007.7553290341123,389.75528903411237,47,90,24,12,11
91,621.0000399999999,764.6255639232537,143.6255239232538,47,91,25,12,10
92,621.0000499999999,904.8686348679194,283.8685848679195,48,92,26,12,10
93,622.0000499999999,947.044199902118,325.0441499021181,48,93,26,12,10
94,626.0000499999999,708.6980994891253,82.69804948912542,48,94,27,12,9
95,628.0000499999999,736.4857602536274,108.48571025362753,49,95,28,12,9
96,633.0000499999999,973.3549966963633,340.3549466963634,50,96,29,12,9
97,635.0000499999999,743.4699859185421,108.4699359185422,50,97,29,12,9
98,638.0000499999999,750.6762492224927,112.67619922249287,50,98,30,11,9
99,639.0000499999999,1218.2986354496124,579.2985854496126,51,99,30,11,10
100,641.0000499999999,718.1384610306711,77.13841103067125,51,100,30,12,9
101,646.0000499999999,1211.4672121417432,565.4671621417433,51,101,30,12,9
102,647.0000499999999,838.9962268348705,191.99617683487065,52,102,30,13,9
